region_league_id,region,league_name,url
BANGLADESH_BFL___ROUND_6,BANGLADESH,BFL - ROUND 6,https://www.flashscore.com/football/
TURKEY_1._LIG___ROUND_17,TURKEY,1. LIG - ROUND 17,https://www.flashscore.com/football/
KENYA_PREMIER_LEAGUE___ROUND_13,KENYA,PREMIER LEAGUE - ROUND 13,https://www.flashscore.com/football/
SERBIA_MOZZART_BET_PRVA_LIGA___ROUND_22,SERBIA,MOZZART BET PRVA LIGA - ROUND 22,https://www.flashscore.com/football/
SEYCHELLES_PREMIER_LEAGUE___ROUND_7,SEYCHELLES,PREMIER LEAGUE - ROUND 7,https://www.flashscore.com/football/
LEBANON_PREMIER_LEAGUE___ROUND_9,LEBANON,PREMIER LEAGUE - ROUND 9,https://www.flashscore.com/football/
SAUDI_ARABIA_DIVISION_1___ROUND_11,SAUDI ARABIA,DIVISION 1 - ROUND 11,https://www.flashscore.com/football/
THAILAND_THAI_LEAGUE_1___ROUND_15,THAILAND,THAI LEAGUE 1 - ROUND 15,https://www.flashscore.com/football/
ISRAEL_LEUMIT_LEAGUE___ROUND_15,ISRAEL,LEUMIT LEAGUE - ROUND 15,https://www.flashscore.com/football/
DR_CONGO_LIGUE_1___ROUND_5,DR CONGO,LIGUE 1 - ROUND 5,https://www.flashscore.com/football/
ITALY_PRIMAVERA_1___ROUND_15,ITALY,PRIMAVERA 1 - ROUND 15,https://www.flashscore.com/football/
RWANDA_PREMIER_LEAGUE,RWANDA,PREMIER LEAGUE,https://www.flashscore.com/football/
UGANDA_PREMIER_LEAGUE___ROUND_10,UGANDA,PREMIER LEAGUE - ROUND 10,https://www.flashscore.com/football/
WORLD_CLUB_FRIENDLY,WORLD,CLUB FRIENDLY,https://www.flashscore.com/football/
UKRAINE_PREMIER_LEAGUE___ROUND_16,UKRAINE,PREMIER LEAGUE - ROUND 16,https://www.flashscore.com/football/
REPUBLIC_OF_THE_CONGO_LIGUE_1___ROUND_14,REPUBLIC OF THE CONGO,LIGUE 1 - ROUND 14,https://www.flashscore.com/football/
DR_CONGO_LIGUE_1___ROUND_9,DR CONGO,LIGUE 1 - ROUND 9,https://www.flashscore.com/football/
QATAR_QSL_CUP___ROUND_9,QATAR,QSL CUP - ROUND 9,https://www.flashscore.com/football/
GHANA_DIVISION_ONE_LEAGUE___ROUND_11,GHANA,DIVISION ONE LEAGUE - ROUND 11,https://www.flashscore.com/football/
BURKINA_FASO_PREMIER_LEAGUE___ROUND_13,BURKINA FASO,PREMIER LEAGUE - ROUND 13,https://www.flashscore.com/football/
ROMANIA_LIGA_2___ROUND_17,ROMANIA,LIGA 2 - ROUND 17,https://www.flashscore.com/football/
GHANA_PREMIER_LEAGUE___ROUND_14,GHANA,PREMIER LEAGUE - ROUND 14,https://www.flashscore.com/football/
NIGER_SUPER_LIGUE___ROUND_9,NIGER,SUPER LIGUE - ROUND 9,https://www.flashscore.com/football/
MALI_PREMIERE_DIVISION___ROUND_4,MALI,PREMIERE DIVISION - ROUND 4,https://www.flashscore.com/football/
BURUNDI_PRIMUS_LEAGUE___ROUND_8,BURUNDI,PRIMUS LEAGUE - ROUND 8,https://www.flashscore.com/football/
AUSTRIA_2._LIGA___ROUND_17,AUSTRIA,2. LIGA - ROUND 17,https://www.flashscore.com/football/
GERMANY_2._BUNDESLIGA___ROUND_16,GERMANY,2. BUNDESLIGA - ROUND 16,https://www.flashscore.com/football/
GERMANY_BUNDESLIGA_WOMEN___ROUND_13,GERMANY,BUNDESLIGA WOMEN - ROUND 13,https://www.flashscore.com/football/
MALTA_PREMIER_LEAGUE___FIRST_STAGE___PLAY_OUT___ROUND_13,MALTA,PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 13,https://www.flashscore.com/football/
GERMANY_3._LIGA___ROUND_18,GERMANY,3. LIGA - ROUND 18,https://www.flashscore.com/football/
SPAIN_PRIMERA_RFEF___GROUP_2___ROUND_16,SPAIN,PRIMERA RFEF - GROUP 2 - ROUND 16,https://www.flashscore.com/football/
PORTUGAL_LIGA_PORTUGAL_2___ROUND_14,PORTUGAL,LIGA PORTUGAL 2 - ROUND 14,https://www.flashscore.com/football/
FRANCE_NATIONAL___ROUND_16,FRANCE,NATIONAL - ROUND 16,https://www.flashscore.com/football/
ROMANIA_SUPERLIGA___ROUND_20,ROMANIA,SUPERLIGA - ROUND 20,https://www.flashscore.com/football/
BELGIUM_CHALLENGER_PRO_LEAGUE___ROUND_17,BELGIUM,CHALLENGER PRO LEAGUE - ROUND 17,https://www.flashscore.com/football/
ENGLAND_PREMIER_LEAGUE_CUP,ENGLAND,PREMIER LEAGUE CUP,https://www.flashscore.com/football/
FRANCE_LIGUE_2___ROUND_17,FRANCE,LIGUE 2 - ROUND 17,https://www.flashscore.com/football/
SWITZERLAND_CHALLENGE_LEAGUE___ROUND_17,SWITZERLAND,CHALLENGE LEAGUE - ROUND 17,https://www.flashscore.com/football/
NETHERLANDS_EERSTE_DIVISIE___ROUND_20,NETHERLANDS,EERSTE DIVISIE - ROUND 20,https://www.flashscore.com/football/
GERMANY_BUNDESLIGA___ROUND_14,GERMANY,BUNDESLIGA - ROUND 14,https://www.flashscore.com/football/
ITALY_SERIE_B___ROUND_16,ITALY,SERIE B - ROUND 16,https://www.flashscore.com/football/
ITALY_SERIE_C___GROUP_B___ROUND_18,ITALY,SERIE C - GROUP B - ROUND 18,https://www.flashscore.com/football/
SPAIN_LALIGA2___ROUND_18,SPAIN,LALIGA2 - ROUND 18,https://www.flashscore.com/football/
FRANCE_LIGUE_1___ROUND_16,FRANCE,LIGUE 1 - ROUND 16,https://www.flashscore.com/football/
ITALY_SERIE_A___ROUND_15,ITALY,SERIE A - ROUND 15,https://www.flashscore.com/football/
BELGIUM_JUPILER_PRO_LEAGUE___ROUND_18,BELGIUM,JUPILER PRO LEAGUE - ROUND 18,https://www.flashscore.com/football/
NORTHERN_IRELAND_NIFL_PREMIERSHIP___ROUND_20,NORTHERN IRELAND,NIFL PREMIERSHIP - ROUND 20,https://www.flashscore.com/football/
SCOTLAND_CHAMPIONSHIP___ROUND_18,SCOTLAND,CHAMPIONSHIP - ROUND 18,https://www.flashscore.com/football/
WALES_CYMRU_NORTH___ROUND_14,WALES,CYMRU NORTH - ROUND 14,https://www.flashscore.com/football/
SPAIN_LALIGA___ROUND_16,SPAIN,LALIGA - ROUND 16,https://www.flashscore.com/football/
ENGLAND_CHAMPIONSHIP___ROUND_21,ENGLAND,CHAMPIONSHIP - ROUND 21,https://www.flashscore.com/football/
FRANCE_PREMIERE_LIGUE_WOMEN___ROUND_10,FRANCE,PREMIERE LIGUE WOMEN - ROUND 10,https://www.flashscore.com/football/
GIBRALTAR_NATIONAL_LEAGUE___ROUND_15,GIBRALTAR,NATIONAL LEAGUE - ROUND 15,https://www.flashscore.com/football/
DOMINICAN_REPUBLIC_LDF___ROUND_17,DOMINICAN REPUBLIC,LDF - ROUND 17,https://www.flashscore.com/football/
TRINIDAD_AND_TOBAGO_TT_PREMIER_LEAGUE___ROUND_8,TRINIDAD AND TOBAGO,TT PREMIER LEAGUE - ROUND 8,https://www.flashscore.com/football/
SPAIN_PRIMERA_RFEF___GROUP_1___ROUND_16,SPAIN,PRIMERA RFEF - GROUP 1 - ROUND 16,https://www.flashscore.com/football/
MARTINIQUE_TROPHEE_GERARD_JANVION___ROUND_11,MARTINIQUE,TROPHEE GERARD JANVION - ROUND 11,https://www.flashscore.com/football/
AUSTRALIA_A_LEAGUE_WOMEN___ROUND_5,AUSTRALIA,A-LEAGUE WOMEN - ROUND 5,https://www.flashscore.com/football/
TAIWAN_MULAN_FOOTBALL_LEAGUE_WOMEN___ROUND_10,TAIWAN,MULAN FOOTBALL LEAGUE WOMEN - ROUND 10,https://www.flashscore.com/football/
AUSTRALIA_A_LEAGUE_WOMEN___ROUND_7,AUSTRALIA,A-LEAGUE WOMEN - ROUND 7,https://www.flashscore.com/football/
AUSTRALIA_A_LEAGUE___ROUND_8,AUSTRALIA,A-LEAGUE - ROUND 8,https://www.flashscore.com/football/
HONG_KONG_PREMIER_LEAGUE___ROUND_11,HONG KONG,PREMIER LEAGUE - ROUND 11,https://www.flashscore.com/football/
AZERBAIJAN_PREMIER_LEAGUE___ROUND_15,AZERBAIJAN,PREMIER LEAGUE - ROUND 15,https://www.flashscore.com/football/
GREECE_SUPER_LEAGUE_2___ROUND_14,GREECE,SUPER LEAGUE 2 - ROUND 14,https://www.flashscore.com/football/
LESOTHO_PREMIER_LEAGUE___ROUND_13,LESOTHO,PREMIER LEAGUE - ROUND 13,https://www.flashscore.com/football/
SPAIN_LIGA_F_WOMEN___ROUND_14,SPAIN,LIGA F WOMEN - ROUND 14,https://www.flashscore.com/football/
ITALY_SERIE_A_WOMEN___ROUND_9,ITALY,SERIE A WOMEN - ROUND 9,https://www.flashscore.com/football/
MAURITIUS_SUPER_LEAGUE___ROUND_7,MAURITIUS,SUPER LEAGUE - ROUND 7,https://www.flashscore.com/football/
TURKEY_SUPER_LIG___ROUND_16,TURKEY,SUPER LIG - ROUND 16,https://www.flashscore.com/football/
ENGLAND_WSL___ROUND_11,ENGLAND,WSL - ROUND 11,https://www.flashscore.com/football/
KOSOVO_SUPERLIGA___ROUND_17,KOSOVO,SUPERLIGA - ROUND 17,https://www.flashscore.com/football/
SERBIA_MOZZART_BET_SUPER_LIGA___ROUND_19,SERBIA,MOZZART BET SUPER LIGA - ROUND 19,https://www.flashscore.com/football/
CYPRUS_DIVISION_2___ROUND_12,CYPRUS,DIVISION 2 - ROUND 12,https://www.flashscore.com/football/
ENGLAND_LEAGUE_ONE___ROUND_20,ENGLAND,LEAGUE ONE - ROUND 20,https://www.flashscore.com/football/
